"Type","Dataset","Model","ROC"
"Cross-Dataset","GSE76808 → GSE48149","Random Forest",0.5
"Cross-Dataset","GSE76808 → GSE48149","SVM",0.5
"Cross-Dataset","GSE76808 → GSE81292","Random Forest",1
"Cross-Dataset","GSE76808 → GSE81292","SVM",1
"Cross-Dataset","GSE48149 → GSE76808","Random Forest",0.5
"Cross-Dataset","GSE48149 → GSE76808","SVM",0.160714285714286
"Cross-Dataset","GSE48149 → GSE81292","Random Forest",0.5
"Cross-Dataset","GSE48149 → GSE81292","SVM",0.28
"Cross-Dataset","GSE81292 → GSE76808","Random Forest",0.946428571428571
"Cross-Dataset","GSE81292 → GSE76808","SVM",0.982142857142857
"Cross-Dataset","GSE81292 → GSE48149","Random Forest",0.5
"Cross-Dataset","GSE81292 → GSE48149","SVM",0.5
