Sample,Condition
GSM2038267,SSc-ILD
GSM2038268,SSc-ILD
GSM2038269,SSc-ILD
GSM2038270,SSc-ILD
GSM2038271,SSc-ILD
GSM2038272,SSc-ILD
GSM2038273,SSc-ILD
GSM2038274,SSc-ILD
GSM2038275,SSc-ILD
GSM2038276,SSc-ILD
GSM2038277,SSc-ILD
GSM2038278,SSc-ILD
GSM2038279,SSc-ILD
GSM2038280,SSc-ILD
GSM2038281,control
GSM2038282,control
GSM2038283,control
GSM2038284,control
GSM2149850,SSc-ILD
GSM2149851,SSc-ILD
GSM2149852,SSc-ILD
GSM2149853,SSc-ILD
GSM2149854,SSc-ILD
GSM2149855,SSc-ILD
GSM2149856,SSc-ILD
GSM2149857,SSc-ILD
GSM2149858,SSc-ILD
GSM2149859,SSc-ILD
GSM2149860,SSc-ILD
GSM2149861,SSc-ILD
GSM2149862,SSc-ILD
GSM2149863,SSc-ILD
GSM2149864,SSc-ILD
GSM2149865,control
GSM2149866,control
GSM2149867,control
GSM2149868,control
GSM2149869,control
GSM1169973,control
GSM1169974,control
GSM1169975,control
GSM1169976,control
GSM1169977,control
GSM1169978,control
GSM1169979,control
GSM1169980,control
GSM1169981,control
GSM1169990,SSc-ILD
GSM1169991,SSc-ILD
GSM1169992,SSc-ILD
GSM1169993,SSc-ILD
GSM1169994,SSc-ILD
GSM1169995,SSc-ILD
GSM1169996,SSc-ILD
GSM1169997,SSc-ILD
GSM1169998,SSc-ILD
GSM1169999,SSc-ILD
GSM1170000,SSc-ILD
GSM1170001,SSc-ILD
GSM1170002,SSc-ILD
GSM1170003,SSc-ILD
GSM1170004,SSc-ILD
GSM1170005,SSc-ILD
GSM1170006,SSc-ILD
GSM1170007,SSc-ILD
GSM1170008,SSc-ILD
GSM1170009,SSc-ILD
GSM1170010,SSc-ILD
GSM1170011,SSc-ILD
GSM1170012,SSc-ILD
